,price,discount,review_count,quantity_sold,rate_shop,shop_follow,count_code,rating_avarage
0,210.000 ₫,0,0,4,4.8,10,2,0
1,72.000 ₫,-19%,7,53,4.4,406,2,4.4
2,229.000 ₫,-41%,3,17,4.4,242,3,3.7
3,139.000 ₫,-7%,152,711,4.5,3379,9,4.4
4,125.000 ₫,-44%,27,122,4.7,1945,5,5
5,95.000 ₫,-10%,79,327,4.3,785,1,4.7
6,130.999 ₫,0,26,84,4.1,164,1,4.6
7,35.000 ₫,-42%,406,1521,4.7,83,0,4.8
8,135.000 ₫,-43%,20,103,4.7,1945,5,4.6
9,491.000 ₫,-22%,30,144,4.9,10649,2,4.9
10,110.000 ₫,0,18,57,4.4,820,3,4.4
11,348.000 ₫,-37%,0,2,4.2,479,2,0
12,155.000 ₫,-17%,8,38,4.8,462,4,4.9
