,price,discount,review_count,quantity_sold,rate_shop,shop_follow,count_code,rating_avarage
0,200.000 ₫,0,11,23,4.1,21,1,4.5
1,71.100 ₫,0,13,71,4.2,134,2,4.6
2,78.000 ₫,0,1,5,4.7,80,1,4
3,264.000 ₫,0,1,1,4.6,17,1,5
4,160.000 ₫,0,7,12,4.4,24,1,4.9
5,219.000 ₫,-42%,1,1,4.6,1843,4,5
6,279.000 ₫,0,12,21,4.8,29,1,5
7,105.000 ₫,-41%,37,128,3.8,189,4,4.3
8,167.400 ₫,-40%,1,1,4.6,464,4,5
9,52.000 ₫,-42%,279,789,4.5,5222,7,4.9
10,185.000 ₫,-35%,9,38,4.6,1740,4,4.4
11,119.000 ₫,-40%,58,210,4.6,2457,5,4.8
12,250.000 ₫,0,2,3,4.4,8,1,4.5
13,167.400 ₫,-40%,1,1,4.6,464,4,5
14,203.000 ₫,-25%,40,184,4.6,3276,2,4.6
15,166.000 ₫,0,1,6,4.5,217,7,5
16,99.000 ₫,0,5,19,4.1,2,1,4.8
17,95.000 ₫,0,5,14,4.2,1843,5,5
18,76.630 ₫,-20%,1,1,3.1,22,2,1
19,69.000 ₫,-45%,11,29,4.7,568,1,4.9
20,44.000 ₫,0,3,5,4.3,75,0,4
21,459.000 ₫,-25%,3,5,4.8,127,1,5
22,480.000 ₫,0,8,31,4.2,273,1,4
23,135.000 ₫,-47%,77,472,4.2,665,1,4.2
24,199.000 ₫,-20%,49,102,4.6,1740,4,4.4
25,48.000 ₫,0,5,14,2.9,504,1,5
26,95.000 ₫,-30%,1,4,4.2,1843,5,4
27,198.000 ₫,0,9,15,4.2,19,1,5
28,269.000 ₫,0,4,10,4.2,55,1,4.4
29,699.000 ₫,0,3,16,4.7,3072,3,5
30,227.050 ₫,-5%,0,2,2.9,504,1,0
31,60.500 ₫,0,5,13,4.4,8,1,3.8
32,214.000 ₫,0,0,1,4.2,145,1,0
33,99.000 ₫,-42%,10,33,4.7,802,1,4.6
34,377.000 ₫,-41%,8,18,4.7,11673,4,5
35,159.000 ₫,-50%,36,85,4.8,267,4,0
36,225.000 ₫,-31%,1,3,4.7,245,5,5
37,59.000 ₫,0,1,2,3.8,25,1,4
38,159.000 ₫,0,2,10,4.4,154,2,2.5
39,139.000 ₫,-37%,84,205,4.4,3584,5,4.6
40,199.000 ₫,-5%,1,1,4.8,206,2,4
41,79.000 ₫,-34%,89,418,4.2,57,2,4.6
42,165.000 ₫,0,4,17,4.0,7,1,2.8
43,89.000 ₫,0,2,4,4.0,626,1,3.5
44,199.000 ₫,-29%,159,555,4.4,284,2,4.5
45,92.000 ₫,-28%,5,6,4.0,54,3,4.8
46,104.000 ₫,-7%,0,0,4.0,97,1,0
47,399.000 ₫,0,14,39,4.7,11264,3,4.6
48,168.000 ₫,-14%,1,7,4.0,49,3,5
49,115.000 ₫,0,0,0,4.3,1024,5,0
50,415.000 ₫,0,2,3,4.6,3276,1,5
51,73.000 ₫,0,19,55,3.9,182,1,3.2
52,35.000 ₫,-20%,2,5,3.9,49,2,4.5
53,119.000 ₫,0,3,20,4.2,55,1,5
54,225.000 ₫,0,46,110,4.7,2662,5,4.6
55,159.000 ₫,-28%,10,34,4.6,1740,4,4.2
56,225.000 ₫,-20%,5,12,4.7,245,5,5
57,120.000 ₫,0,19,242,4.4,463,1,4.8
58,119.000 ₫,0,3,16,4.4,135,1,3.7
59,199.000 ₫,-58%,8,21,4.5,935,1,4.8
60,138.000 ₫,-27%,26,86,4.5,2048,4,4.3
61,80.000 ₫,0,23,54,4.5,2252,6,4.5
62,303.000 ₫,-33%,3,5,4.8,6553,7,5
63,196.200 ₫,0,3,7,3.3,147,2,2.3
64,28.000 ₫,-33%,33,72,4.5,5222,6,5
65,522.000 ₫,-35%,4,6,4.8,6553,7,4.8
66,99.000 ₫,-38%,66,160,4.6,2457,5,4.4
67,110.000 ₫,0,2,5,3.9,565,1,3.5
68,359.000 ₫,-35%,12,2,4.7,2662,5,5
69,99.000 ₫,0,1,44,4.8,6553,7,4.9
70,159.000 ₫,0,17,36,4.1,47,1,4.4
71,648.000 ₫,-44%,5,12,4.8,6553,7,5
72,199.000 ₫,-57%,3,10,4.7,952,3,5
73,95.000 ₫,0,4,15,3.4,546,1,4.5
74,361.000 ₫,-24%,2,6,4.7,11161,5,4
75,42.750 ₫,-5%,17,68,2.9,504,0,2.8
76,28.000 ₫,0,16,69,3.5,1536,2,3.3
77,79.000 ₫,0,1,4,4.3,98,3,1
78,199.000 ₫,-57%,2,7,4.7,952,3,5
79,82.000 ₫,0,2,8,3.9,849,1,4
80,80.000 ₫,0,15,35,4.5,2252,6,4.8
81,76.000 ₫,-5%,56,141,4.1,68,2,4.2
82,279.000 ₫,-35%,2,2,4.8,127,1,4.5
83,75.000 ₫,0,73,1406,4.0,214,1,4.4
84,97.000 ₫,-29%,13,38,4.2,1843,5,4.1
85,164.000 ₫,0,3,9,4.4,24,1,3.7
86,417.000 ₫,-56%,7,36,4.7,11673,4,5
87,84.900 ₫,0,14,56,4.3,1024,5,4.8
88,134.550 ₫,-31%,3,13,4.7,138,1,4.7
89,193.000 ₫,-27%,4,20,4.4,211,4,5
90,412.300 ₫,-30%,2,4,4.5,587,2,5
91,69.000 ₫,-31%,4,15,4.3,139,5,5
92,270.000 ₫,0,1,2,5.0,2,1,5
93,263.000 ₫,0,6,20,4.0,41,1,4.3
94,79.000 ₫,-37%,50,103,4.7,568,1,4.8
95,140.000 ₫,-20%,2,3,3.1,22,2,3
96,89.000 ₫,-47%,15,43,4.6,1843,4,4.9
97,40.000 ₫,-31%,0,4,4.2,395,2,0
98,493.000 ₫,-15%,40,89,4.7,365,3,4.8
99,95.000 ₫,0,1,4,4.3,559,5,4
100,64.000 ₫,-20%,4,12,3.5,33,2,4.5
101,95.000 ₫,-42%,6,18,4.7,802,1,4.8
102,299.000 ₫,0,5,30,3.7,194,2,2.6
103,139.000 ₫,-37%,41,136,4.4,3584,5,4.6
104,365.000 ₫,0,1,1,4.5,620,2,5
105,250.000 ₫,0,3,4,4.4,6,1,4.3
106,100.000 ₫,-50%,9,23,3.8,189,4,3.7
107,325.000 ₫,-18%,5,12,4.7,245,5,4.2
108,160.000 ₫,0,1,1,4.4,5,1,5
109,52.000 ₫,0,3,23,4.4,17,1,4.7
110,159.000 ₫,-38%,74,159,4.2,665,1,4.4
111,30.000 ₫,0,1,20,5.0,4,0,5
112,108.500 ₫,0,0,6,3.3,13,1,0
113,225.000 ₫,-20%,13,32,4.7,245,5,4.7
114,54.500 ₫,0,0,0,4.4,273,1,0
115,350.000 ₫,0,4,14,3.6,7,1,4.3
116,214.200 ₫,0,1,3,3.3,147,2,1
117,199.000 ₫,-34%,4,10,4.8,267,4,0
118,249.000 ₫,-29%,4,20,4.7,719,5,5
119,59.000 ₫,-34%,103,499,4.2,665,1,4.2
120,340.400 ₫,-17%,5,20,3.7,65,5,4
121,295.000 ₫,-9%,2,12,4.7,245,5,5
122,159.000 ₫,0,159,618,4.7,2662,5,4.8
123,99.000 ₫,0,2,5,4.7,2662,5,5
124,249.000 ₫,0,8,19,4.2,74,3,3.8
125,198.000 ₫,-10%,21,111,4.6,115,2,4.9
126,195.000 ₫,-50%,15,52,4.4,239,4,4.3
127,65.000 ₫,0,45,215,4.2,840,5,4.2
128,79.000 ₫,0,2,3,3.0,20,1,3
129,126.500 ₫,-28%,3,7,4.3,559,5,4.7
130,139.000 ₫,0,20,51,4.6,6,1,4.7
131,198.000 ₫,-10%,21,111,4.6,115,2,4.9
132,159.000 ₫,-50%,1,12,4.7,802,1,5
133,195.000 ₫,-50%,15,52,4.4,239,4,4.3
134,104.500 ₫,-45%,3,12,4.7,46,1,5
135,66.500 ₫,-30%,11,30,4.4,48,4,4.5
136,79.000 ₫,-17%,13,47,4.4,33,1,3.8
137,449.500 ₫,-50%,0,0,3.8,2,1,0
138,58.000 ₫,0,2,12,4.4,26,1,4.5
139,59.000 ₫,0,3,4,3.9,565,1,4.3
140,79.000 ₫,-10%,1,1,4.7,779,2,4
141,199.000 ₫,-62%,8,21,4.7,952,3,5
142,157.000 ₫,-52%,8,29,4.7,11673,4,5
143,155.000 ₫,-20%,13,48,4.2,5,2,4.1
144,75.000 ₫,0,3,35,3.9,849,1,3.3
145,199.000 ₫,-30%,2,6,4.5,620,2,5
146,292.500 ₫,-55%,1,4,4.7,119,2,5
147,60.000 ₫,-25%,62,138,4.5,2252,6,4.6
148,133.200 ₫,0,1,1,4.6,60,1,5
149,84.000 ₫,0,2,21,3.9,849,1,5
150,467.000 ₫,-53%,7,26,4.7,11673,4,0
151,154.800 ₫,0,2,4,4.6,60,1,4.5
152,93.100 ₫,-5%,21,106,2.9,504,1,4.2
153,200.000 ₫,0,8,27,4.5,265,1,4.8
154,119.000 ₫,0,1,2,4.2,1843,5,5
155,294.000 ₫,0,1,1,3.8,24,1,3
156,61.000 ₫,0,1,1,4.4,273,1,5
157,95.000 ₫,0,4,6,3.8,63,1,4.8
158,49.000 ₫,0,3,5,4.7,568,1,5
159,87.000 ₫,-36%,8,32,4.3,559,5,4.1
160,149.000 ₫,0,2,2,4.4,24,1,5
161,199.000 ₫,-15%,7,14,4.2,665,1,4.7
162,138.000 ₫,0,75,421,4.7,2662,5,4.8
163,185.000 ₫,-20%,1,2,3.8,414,2,5
164,128.000 ₫,0,9,41,4.0,626,1,3.2
165,199.000 ₫,0,3,5,4.7,465,1,4.3
166,399.000 ₫,0,2,4,4.5,42,1,5
167,85.998 ₫,0,29,310,4.0,214,1,4
168,189.000 ₫,-37%,3,7,4.6,1740,4,4.3
169,110.000 ₫,0,26,92,3.9,565,1,4.3
170,179.000 ₫,-49%,15,48,4.6,1843,4,4.5
171,185.000 ₫,0,1,1,4.6,148,2,0
172,85.000 ₫,0,0,1,4.4,489,5,5
173,20.000 ₫,-47%,33,220,4.6,1843,3,4.9
174,135.000 ₫,-17%,0,1,4.4,262,1,0
175,20.000 ₫,0,3,5,3.7,8,0,2.3
176,135.000 ₫,-13%,6,46,4.6,2252,1,5
177,99.000 ₫,-30%,1,2,4.1,130,1,1
178,99.000 ₫,0,2,16,4.7,2662,5,5
179,129.000 ₫,-50%,41,121,4.3,4812,2,0
180,149.000 ₫,-30%,30,39,4.5,5222,7,0
