id,price,discount,review_count,quantity_sold,rate_shop,shop_follow,count_code,rating_avarage
1,155.000 ₫,-17%,8,38,4.8,462,4,4.9
2,499.500 ₫,-50%,0,1,4.4,324,1,0.0
3,59.000 ₫,-25%,12,76,4.4,242,3,4.8
4,260.000 ₫,0,12,47,4.3,32,1,4.8
5,211.000 ₫,-13%,3,21,4.8,405,9,5.0
6,199.000 ₫,0,21,56,4.5,546,1,0.0
7,279.000 ₫,-13%,1,15,4.3,96,3,0.0
8,135.000 ₫,-27%,11,38,4.2,479,2,4.8
9,155.000 ₫,-38%,45,215,4.8,462,4,0.0
10,398.000 ₫,-31%,11,83,4.8,24,4,4.9
11,115.000 ₫,0,2,12,4.8,10,2,5.0
12,95.000 ₫,0,52,254,4.6,2355,10,4.8
13,241.000 ₫,-22%,47,217,4.9,10649,2,4.9
14,92.000 ₫,-39%,181,758,4.7,1126,5,4.7
15,17.000 ₫,0,33,264,4.2,479,1,0.0
16,247.000 ₫,-11%,13,56,4.6,38,4,4.7
17,179.000 ₫,-33%,70,228,4.8,3379,5,4.9
18,759.000 ₫,-50%,10,39,4.7,1228,1,5.0
19,89.000 ₫,-14%,10,37,4.7,1331,3,4.9
20,169.000 ₫,-20%,21,58,4.6,409,3,5.0
21,135.999 ₫,0,29,108,4.1,165,1,4.3
22,1.269.000 ₫,0,81,270,4.9,10649,3,4.9
23,249.000 ₫,0,38,118,4.4,1536,3,4.6
24,185.000 ₫,0,11,87,4.7,124,3,4.7
25,210.000 ₫,0,0,4,4.8,10,2,0.0
26,49.000 ₫,0,47,310,4.6,2355,10,4.6
27,78.000 ₫,0,111,870,4.7,163,2,4.6
28,129.000 ₫,-50%,196,655,4.6,3276,4,4.6
29,187.500 ₫,-25%,68,305,4.8,7270,4,4.8
30,289.000 ₫,-20%,0,1,4.3,786,1,0.0
31,549.000 ₫,-21%,1,2,4.4,324,1,5.0
32,72.000 ₫,-19%,7,53,4.4,406,2,4.4
33,125.000 ₫,-54%,87,343,4.7,1945,5,4.8
34,37.700 ₫,-29%,251,992,4.5,3379,8,4.7
35,499.000 ₫,-5%,7,22,4.8,24,4,4.4
36,229.000 ₫,-41%,3,17,4.4,242,3,3.7
37,90.000 ₫,-45%,55,560,4.7,83,1,4.8
38,45.000 ₫,-50%,40,234,4.6,1024,1,4.6
39,86.000 ₫,-35%,261,1853,4.5,3379,9,4.8
40,58.000 ₫,0,0,2,4.2,479,2,0.0
41,286.000 ₫,-4%,6,33,4.3,96,3,4.0
42,160.000 ₫,0,49,0,0.0,0,3,4.9
43,4.000 ₫,-20%,6,62,4.5,167,1,4.3
44,139.000 ₫,-7%,152,711,4.5,3379,9,4.4
45,99.000 ₫,-36%,192,805,4.5,3379,9,4.5
46,690.900 ₫,-6%,4,12,4.9,102,2,5.0
47,125.000 ₫,-44%,27,124,4.7,1945,5,5.0
48,29.900 ₫,0,5,19,4.4,95,0,3.8
49,105.000 ₫,0,24,77,4.6,382,1,4.7
50,169.150 ₫,-15%,15,42,4.4,498,1,4.4
51,59.000 ₫,-14%,61,295,4.7,163,2,4.8
52,125.000 ₫,-31%,196,841,4.5,901,6,4.3
53,45.000 ₫,-31%,17,53,4.5,3584,7,4.8
54,124.000 ₫,-34%,12,50,4.4,1945,2,4.8
55,95.000 ₫,-10%,79,327,4.3,786,1,4.7
56,130.999 ₫,0,26,84,4.1,165,1,4.6
57,169.000 ₫,-32%,22,100,4.8,462,4,4.8
58,78.000 ₫,0,184,785,4.7,163,2,4.8
59,125.000 ₫,-44%,15,139,4.7,1945,5,0.0
60,35.000 ₫,-42%,406,1521,4.7,83,0,4.8
61,165.000 ₫,-21%,66,234,4.5,3584,7,0.0
62,299.000 ₫,-25%,154,557,4.5,1331,2,4.7
63,135.000 ₫,-43%,20,103,4.7,1945,5,4.6
64,86.000 ₫,-41%,35,125,4.7,1945,5,0.0
65,69.000 ₫,-21%,11,66,4.6,409,3,4.8
66,179.000 ₫,-10%,27,82,4.8,3379,5,4.9
