id,price,discount,review_count,quantity_sold,rate_shop,shop_follow,count_code,rating_avarage
1,209.000 ₫,-23%,1138,5000+,4.7,479129,1,4.7
2,110.000 ₫,-13%,1271,5000+,4.7,479129,1,4.7
3,39.000 ₫,-48%,521,5000+,4.5,3276,7,4.8
4,170.000 ₫,-25%,1622,5000+,4.7,479129,1,4.7
5,638.000 ₫,-24%,350,1566,4.7,479129,1,4.8
6,69.000 ₫,-42%,614,2687,4.5,3276,8,4.7
7,16.800 ₫,0,41,606,0,0,0,0
8,62.000 ₫,0,9,175,4.7,794,1,4.7
9,92.000 ₫,-16%,142,851,4.7,581,4,4.7
10,238.000 ₫,0,89,495,4.7,479129,1,4.7
11,122.000 ₫,-32%,269,1927,4.8,277,1,4.8
12,125.000 ₫,0,205,1399,4.7,739,1,4.7
13,362.000 ₫,-10%,1287,5000+,4.8,5222,2,4.8
14,71.000 ₫,-4%,23,201,4.7,479129,1,5
15,86.000 ₫,-22%,352,2040,4.6,3379,2,4.7
16,149.000 ₫,0,246,1592,0,0,0,4.7
17,25.000 ₫,0,384,5000+,0,0,0,0
18,362.000 ₫,-10%,261,1206,4.8,5222,2,4.9
19,109.000 ₫,-27%,53,531,4.7,543,5,4.9
20,164.500 ₫,0,0,5,4.7,645,4,0
21,23.750 ₫,-5%,88,755,4.5,400,3,4.2
22,139.000 ₫,-41%,357,1447,4.5,3276,8,0
23,22.000 ₫,0,142,1178,4.7,1945,0,4.9
24,66.000 ₫,0,0,4,4.2,479,2,0
25,90.000 ₫,-3%,121,987,4.7,479129,1,4.9
26,157.000 ₫,-13%,13,73,4.7,479129,1,4.8
27,117.000 ₫,-8%,375,4041,4.7,479129,1,4.9
28,74.000 ₫,-5%,509,5000+,4.7,479129,1,4.8
29,18.000 ₫,-22%,63,3687,4.7,110,2,0
30,16.800 ₫,0,27,492,4.6,362,0,4.8
31,90.100 ₫,-3%,204,1150,4.7,479129,1,4.8
32,372.000 ₫,-5%,121,560,4.8,5222,2,4.9
33,95.000 ₫,-4%,74,535,4.4,1024,4,4.3
34,36.996 ₫,0,86,997,4,214,0,4.4
35,195.000 ₫,-43%,14,103,4.7,543,5,4.7
36,52.000 ₫,0,56,631,4.2,479,2,4.2
37,109.000 ₫,-27%,57,586,4.7,543,5,4.9
38,213.000 ₫,-21%,26,190,4.7,479129,1,4.9
39,801.900 ₫,-1%,0,6,4.5,1331,4,0
40,115.000 ₫,0,52,494,4.7,1228,1,4.5
41,90.100 ₫,-3%,138,1132,4.7,479129,1,4.9
42,45.000 ₫,-49%,292,2547,4.6,3379,2,4.7
43,155.000 ₫,-14%,34,206,4.7,110,3,4.8
44,47.800 ₫,-20%,24,174,4.4,273,1,4.1
45,6.500 ₫,0,70,2265,4.5,569,0,4.4
46,135.000 ₫,0,2,40,4.5,18,1,4.5
47,75.000 ₫,0,177,1573,4.4,333,2,0
48,208.000 ₫,-17%,2691,5000+,4.7,479129,1,4.8
49,196.000 ₫,0,10,71,4.6,698,2,4.1
50,195.000 ₫,0,49,192,4.6,318,1,4.8
51,48.000 ₫,0,5,83,4.2,2867,2,4.6
52,79.000 ₫,-17%,48,265,4.6,71,9,0
53,9.405 ₫,0,149,1946,4.7,1945,0,4.7
54,45.000 ₫,-49%,116,788,4.6,3379,2,4.7
55,300.009 ₫,-50%,315,1564,4.7,645,4,4.7
56,71.000 ₫,-7%,197,1578,4.7,479129,1,4.9
57,60.000 ₫,0,13,123,4.7,794,1,4.6
58,168.000 ₫,-23%,147,1020,4.7,479129,1,4.9
59,150.000 ₫,-17%,174,923,4.5,58,2,0
60,139.000 ₫,-34%,9,9,4.5,2,5,0
61,29.000 ₫,-28%,58,822,4.7,479129,0,4.9
62,45.500 ₫,-20%,2,8,4.4,273,1,4
63,124.998 ₫,-38%,1,2,4.5,17,3,5
64,92.000 ₫,-7%,1,3,4.2,479,2,5
65,40.000 ₫,0,19,110,4.3,3584,1,4.8
66,347.992 ₫,0,0,2,4.7,645,4,0
67,159.999 ₫,0,17,74,4.3,259,2,4.9
68,158.000 ₫,-21%,25,258,4.7,1638,1,4.8
69,99.000 ₫,-23%,9,9,4.5,2,5,5
70,48.000 ₫,0,21,283,4.7,794,1,4
71,149.000 ₫,-24%,9,9,4.5,2,5,0
72,99.000 ₫,-21%,9,9,4.5,2,5,5
73,143.750 ₫,-16%,9,64,4.5,206,2,3.7
74,38.998 ₫,0,0,4,4.2,2867,1,0
75,219.000 ₫,-24%,11,60,4.7,543,5,4.9
76,35.000 ₫,-30%,86,765,4.5,632,0,4.5
77,136.000 ₫,-38%,2,19,4.5,17,3,5
78,75.000 ₫,-17%,26,425,4.7,110,3,0
79,104.900 ₫,0,45,315,4.6,153,1,4.9
80,137.500 ₫,0,2,8,4.7,645,4,5
81,75.000 ₫,-40%,50,271,4.5,3276,8,4.6
82,134.000 ₫,-11%,264,1212,4.7,53,4,4.7
83,148.000 ₫,-1%,127,1915,4.5,58,2,4.5
84,88.000 ₫,0,376,5000+,4.6,153,1,4.8
85,69.000 ₫,-47%,47,242,4.6,71,9,4.7
86,295.000 ₫,0,112,529,4.7,339,2,4.8
87,199.000 ₫,0,18,75,4.6,698,2,4.6
88,103.000 ₫,0,42,262,4.6,153,1,4.9
89,90.100 ₫,-3%,11,128,4.7,479129,1,5
90,16.900 ₫,-16%,7,8,4.5,400,3,5
91,129.000 ₫,-23%,9,42,0,0,0,4.9
92,198.000 ₫,-17%,908,5000+,0,0,0,4.8
93,97.999 ₫,0,3,43,0,0,0,5
94,156.000 ₫,-22%,33,333,0,0,0,4.8
95,181.000 ₫,0,16,86,0,0,0,4.9
96,497.091 ₫,0,0,0,0,0,0,0
97,105.000 ₫,-20%,24,237,4.8,277,1,4.8
98,67.000 ₫,-32%,111,1132,4.8,277,1,4.6
99,44.000 ₫,-10%,59,699,4.7,581,3,4.4
100,99.000 ₫,0,31,226,4.6,31,2,4.6
101,15.000 ₫,0,0,0,4.2,479,1,0
102,39.000 ₫,0,198,1578,0,0,0,4.7
103,145.000 ₫,-24%,20,120,0,0,0,4.8
104,125.000 ₫,-4%,11,101,0,0,0,4.8
105,139.000 ₫,-18%,74,492,0,28,2,0
106,60.000 ₫,-25%,46,438,0,0,0,0
107,264.000 ₫,-38%,3,10,4.5,17,3,4.7
108,105.000 ₫,-41%,307,1908,4.9,1433,3,4.8
109,267.999 ₫,-45%,20,125,4.7,88,3,5
110,139.000 ₫,-18%,583,4316,4.6,2252,5,4.6
111,320.000 ₫,0,10,40,4.7,37,1,4.8
112,35.399 ₫,0,0,1,4.2,2867,1,0
113,59.000 ₫,0,0,33,4.2,479,2,0
114,155.220 ₫,-22%,6,18,4.8,2662,2,5
115,152.000 ₫,-11%,16,113,4.4,493,4,0
116,98.000 ₫,-29%,69,442,0,0,0,4.8
117,67.000 ₫,0,83,787,0,0,0,4.8
118,199.000 ₫,-20%,13,55,4.7,581,4,0
119,64.350 ₫,-1%,9,83,0,0,0,3.4
120,87.100 ₫,-7%,6,52,0,0,0,0
121,160.000 ₫,0,2,21,4.7,37,1,5
122,280.000 ₫,-38%,0,10,0,0,0,0
123,58.999 ₫,0,129,717,4.3,994,4,4.7
124,499.000 ₫,-50%,136,518,4.7,645,5,4.8
125,115.000 ₫,-23%,19,114,4.7,543,5,0
126,11.990 ₫,0,34,1014,4.2,1331,3,0
127,119.000 ₫,-6%,671,4970,4.7,479129,1,0
128,117.500 ₫,0,0,1,4.7,645,4,0
129,70.000 ₫,0,15,144,4.5,6,1,4.5
130,372.982 ₫,0,0,3,4.7,645,4,0
131,22.000 ₫,-31%,95,1692,4.7,581,3,4.3
132,54.000 ₫,0,60,761,4,214,1,4.3
133,44.000 ₫,-10%,51,476,4.7,581,3,4.7
134,22.000 ₫,0,1,53,3.9,76,0,4
135,30.500 ₫,0,10,43,4.4,741,0,5
136,99.750 ₫,-5%,5,9,4.5,400,4,5
137,54.000 ₫,0,89,597,4.8,408,1,4.7
138,98.000 ₫,0,8,27,4.3,259,1,4.5
139,380.000 ₫,-24%,93,470,4.8,291,2,4.8
140,15.000 ₫,0,0,4,4.2,479,1,0
141,99.000 ₫,-46%,33,147,0,0,0,4.5
142,29.000 ₫,0,76,1210,4.8,408,0,4.8
143,287.500 ₫,0,0,0,4.7,645,4,0
144,396.000 ₫,0,3,2,4.7,645,4,0
145,115.000 ₫,-23%,15,107,4.7,543,5,4.4
146,105.000 ₫,0,1,2,0,0,0,4
147,59.000 ₫,0,15,173,4.3,851,4,4.6
148,180.000 ₫,0,26,197,4.4,2,1,4.5
149,697.998 ₫,-45%,0,2,4.7,88,3,0
150,185.000 ₫,0,11,103,4.5,1740,1,4.7
151,459.981 ₫,0,20,92,4.6,216,1,4.8
152,119.000 ₫,-30%,6,25,4.7,543,5,4.7
153,153.000 ₫,0,0,0,4.7,645,4,0
154,98.000 ₫,-42%,10,42,4.5,172,2,4.3
155,40.000 ₫,0,21,180,4.6,1228,3,4.5
