id,price,discount,review_count,quantity_sold,rate_shop,shop_follow,count_code,rating_avarage
1,0,0,23,69,4.6,1843,4,4.7
2,59.000 ₫,0,7,18,4.1,59,1,4.9
3,199.000 ₫,-67%,11,25,4.7,952,3,4.9
4,119.000 ₫,0,97,273,4.3,157,5,4.4
5,359.000 ₫,0,5,13,3.4,546,1,4.8
6,95.000 ₫,-65%,8,17,4.7,952,3,1.8
7,199.000 ₫,-38%,579,2667,4.5,5222,7,4.5
8,124.000 ₫,-34%,440,2090,4.7,2867,3,4.7
9,199.000 ₫,-67%,18,66,4.7,952,3,5.0
10,272.000 ₫,-17%,2,4,3.7,65,5,4.0
11,283.000 ₫,-53%,53,140,4.8,238,1,0.0
12,194.000 ₫,-24%,941,3169,4.7,2867,3,4.6
13,159.000 ₫,0,26,83,4.7,802,1,5.0
14,49.000 ₫,-50%,1,12,3.9,849,1,0.0
15,320.000 ₫,0,5,18,4.2,18,1,4.6
16,200.000 ₫,-16%,2,13,4.7,11161,5,5.0
17,371.000 ₫,-54%,25,71,4.8,238,1,5.0
18,87.000 ₫,0,1,1,4.3,570,1,4.9
19,333.000 ₫,0,9,50,3.7,65,5,4.0
20,95.000 ₫,-36%,7,42,4.7,802,1,4.9
21,119.000 ₫,0,11,34,4.7,2662,5,4.6
22,200.000 ₫,0,10,28,4.1,2662,5,0.0
23,129.000 ₫,0,7,11,4.7,566,2,4.7
24,99.000 ₫,0,167,540,4.4,284,2,0.0
25,75.000 ₫,0,6,12,4.7,952,3,4.8
26,180.000 ₫,-40%,44,89,4.6,1740,4,4.8
27,60.000 ₫,-25%,64,167,4.5,2252,6,4.4
28,169.000 ₫,-64%,23,99,4.7,952,3,4.7
29,245.000 ₫,-50%,144,410,4.6,236,1,4.9
30,99.000 ₫,0,12,28,4.7,2662,5,0.0
31,55.000 ₫,0,98,391,4.3,1331,3,4.1
32,195.000 ₫,0,32,95,3.9,849,1,4.3
33,85.000 ₫,-39%,23,102,4.7,2662,5,4.9
34,100.000 ₫,0,21,91,4.7,566,2,4.5
35,99.000 ₫,0,51,167,4.1,11673,4,4.9
36,200.000 ₫,0,45,123,4.2,1843,5,4.9
37,169.000 ₫,-69%,34,143,4.7,952,3,0.0
38,199.000 ₫,-20%,21,105,4.3,139,5,4.5
39,109.000 ₫,-71%,3,41,4.7,952,3,5.0
40,40.000 ₫,0,134,567,4.0,626,0,4.1
41,82.000 ₫,-7%,138,507,3.8,414,2,4.2
42,99.000 ₫,-23%,83,313,4.6,2457,5,4.5
43,99.000 ₫,-45%,398,832,4.7,2662,5,4.6
44,124.000 ₫,0,41,106,4.7,952,3,4.9
45,429.000 ₫,-58%,15,67,4.5,5222,1,4.3
46,159.000 ₫,-50%,15,76,3.9,565,7,0.0
47,120.000 ₫,0,17,57,4.5,2048,4,4.6
48,92.000 ₫,-49%,534,1809,4.5,5222,7,4.7
49,59.000 ₫,0,17,46,3.5,1536,3,0.0
50,44.000 ₫,-48%,21,301,4.7,849,1,4.1
51,163.000 ₫,0,12,35,3.9,11673,3,4.8
52,199.000 ₫,0,6,10,4.7,952,3,3.7
53,117.000 ₫,-55%,41,146,3.9,565,1,4.8
54,139.000 ₫,-56%,32,90,4.7,952,3,4.8
55,168.000 ₫,-52%,333,928,4.6,3276,2,4.6
56,141.000 ₫,-29%,340,880,4.5,2048,5,4.8
57,99.000 ₫,0,52,117,4.7,2662,5,4.6
58,129.000 ₫,0,136,311,4.4,489,5,4.5
59,90.000 ₫,0,40,127,4.0,626,1,3.3
60,269.000 ₫,-47%,171,447,4.4,3584,5,3.5
61,149.000 ₫,-28%,96,199,4.5,335,1,4.6
62,177.000 ₫,-23%,96,330,4.5,2048,5,0.0
63,179.600 ₫,-25%,111,461,4.7,2969,4,4.6
64,182.000 ₫,-52%,47,190,4.5,2048,4,4.6
65,116.000 ₫,-42%,16,52,3.8,189,4,4.1
66,39.000 ₫,-29%,90,330,4.3,4812,2,4.7
67,189.000 ₫,-48%,22,82,4.5,2048,3,0.0
68,118.000 ₫,0,2,13,4.4,75,1,4.5
69,199.000 ₫,-67%,22,80,4.7,952,3,4.9
70,128.250 ₫,-5%,6,12,2.9,504,1,2.7
71,25.000 ₫,-50%,460,2473,4.5,5222,6,4.4
72,79.000 ₫,0,64,235,4.2,173,3,4.6
73,59.000 ₫,-41%,944,3162,4.2,665,1,4.3
74,122.000 ₫,-35%,162,386,4.5,5222,7,0.0
75,123.000 ₫,-31%,396,916,4.2,665,1,4.3
76,123.000 ₫,0,3,8,4.3,530,5,3.3
77,119.000 ₫,-52%,36,14,4.7,952,3,5.0
78,282.450 ₫,-43%,4,91,4.7,2662,5,4.9
79,99.000 ₫,0,21,121,4.5,2048,4,4.9
80,199.000 ₫,-62%,29,129,4.7,952,3,4.9
81,139.000 ₫,-22%,127,407,4.6,1843,4,4.6
82,245.000 ₫,-50%,37,2599,4.2,665,1,4.4
83,143.000 ₫,-42%,521,121,4.6,952,3,4.8
84,169.000 ₫,-64%,5,29,4.7,236,1,4.8
85,100.000 ₫,0,209,518,4.3,530,5,4.3
86,281.000 ₫,-33%,19,51,4.7,365,3,4.7
87,194.000 ₫,-32%,1177,3851,4.7,2867,3,4.6
88,123.000 ₫,-41%,7,10,4.5,2048,4,0.0
89,199.000 ₫,-67%,29,83,4.7,952,3,4.9
90,85.990 ₫,0,4,10,4.4,273,1,5.0
91,68.000 ₫,0,79,304,4.2,51,1,4.1
92,122.000 ₫,-51%,150,448,4.7,952,3,4.8
93,159.000 ₫,-58%,23,72,4.5,2048,4,4.8
94,114.000 ₫,-67%,39,120,4.7,952,3,4.4
95,199.000 ₫,-26%,81,268,4.7,802,1,4.8
96,99.000 ₫,-34%,9,59,4.7,2867,3,4.7
97,269.000 ₫,0,10,99,4.4,463,1,4.2
98,95.000 ₫,0,444,5000+,4.7,2969,4,4.8
99,89.500 ₫,-28%,24,173,4.7,11264,3,4.9
100,39.000 ₫,0,3,3,4.0,279,1,5.0
101,199.000 ₫,-54%,54,179,4.7,952,3,4.7
102,65.000 ₫,-35%,251,705,4.3,1843,2,4.3
103,178.500 ₫,-49%,17,49,4.6,1740,4,4.1
104,106.000 ₫,-15%,253,773,3.8,414,2,0.0
105,110.000 ₫,-12%,289,1502,4.7,2867,4,4.5
106,210.000 ₫,-45%,36,106,4.5,2048,3,0.0
107,119.000 ₫,-48%,167,538,4.5,5222,7,4.6
108,519.000 ₫,-23%,142,454,4.6,3276,2,4.8
109,199.000 ₫,-67%,30,93,4.7,952,3,4.9
110,81.000 ₫,0,6,30,4.3,1331,3,4.7
111,270.000 ₫,-24%,0,0,4.7,11161,5,0.0
112,79.000 ₫,-47%,139,453,4.5,414,2,3.7
113,119.000 ₫,-20%,11,79,3.8,5222,7,0.0
114,282.450 ₫,-40%,13,29,4.7,952,3,4.8
115,12.800 ₫,0,7,88,4.4,273,0,4.1
116,119.000 ₫,-25%,3,17,4.7,11161,5,4.5
117,65.000 ₫,0,55,186,3.9,849,1,4.7
118,123.000 ₫,0,4,39,4.4,26,1,4.5
119,11.000 ₫,0,71,223,3.5,1536,2,4.2
120,149.000 ₫,0,207,771,4.4,292,4,4.2
121,95.000 ₫,-30%,68,175,4.2,1843,5,4.4
122,159.000 ₫,-71%,11,34,4.7,952,3,4.5
123,149.000 ₫,-12%,557,1897,4.7,802,1,4.7
124,160.000 ₫,-20%,0,0,4.7,11161,5,0.0
125,222.000 ₫,0,48,124,4.7,2662,5,4.8
126,149.000 ₫,-37%,1042,3556,4.5,5222,7,4.5
127,79.300 ₫,-17%,78,673,4.4,8,1,4.7
128,185.000 ₫,0,38,134,4.7,174,1,4.1
129,99.000 ₫,0,27,50,3.6,2969,4,5.0
130,55.000 ₫,0,8,92,4.7,34,1,4.7
131,189.000 ₫,0,14,27,4.7,208,1,4.7
132,0,0,197,544,4.6,1740,4,0.0
133,48.000 ₫,0,69,164,3.5,1536,3,3.7
134,213.000 ₫,-40%,39,202,4.7,11161,5,4.9
135,92.000 ₫,0,86,208,4.3,559,5,4.5
136,199.000 ₫,-47%,9,27,4.7,952,3,4.8
137,225.000 ₫,-31%,7,24,4.4,3584,5,3.5
138,129.000 ₫,-35%,30,77,3.5,1536,2,3.5
139,21.000 ₫,0,231,1210,4.7,245,5,5.0
140,45.000 ₫,0,22,70,3.9,849,1,3.9
141,0,0,68,22,4.7,11161,5,5.0
142,236.000 ₫,-21%,6,215,4.8,238,4,4.4
143,235.000 ₫,-29%,48,144,4.6,1843,1,0.0
144,77.000 ₫,-22%,96,808,4.7,847,2,4.8
145,75.000 ₫,-46%,34,147,4.6,1843,4,4.9
146,72.000 ₫,0,13,42,4.6,14,1,4.5
147,115.000 ₫,0,41,133,4.0,626,1,4.2
