,link_item
0,https://tka.tiki.vn/pixel/pixel?data=Sfwk__YcAzAZv1irFEXT4ZopMhl2IfjIL0HE89f2G4qc5UPEDx9v3O3PMWnh2Rsb8lAtTGw_ua1ElbIxshkJmUkpYQ4MbUGZkJdZv45mrMn86ZWgQ9B9I0t1wYV5QKvNf-mhXetO2HLtd-ZGLXuoNihVcb8_09L7_9sZ5fMlGnNhIydL1xF1nWCj1dUlyb59Hqzmw2sgenoCAfNFiGWPNtqVeu3EDaOc-kHzFexBfU7Rn2_WMzSjvmfErivaQj2ulZ-SmJCQYHC9mwVB6viPPE89_GD12H5CQf0LKNpVTHl9dUVE4JqB_JEb8dGTmFB1QIvsVQv9_Di7RYVMngFieiSQiCaekWJmAlHGObDMfbiteC2Dv9vkMea5hiFnsY_OSj0efqutzV8VnsAds1uiAafxvTcPlXXS6qGNJs_8g7DKO54LAesgi-o0-LNOGTLH_zk1wgvvqAkcd244jAo9i453ybASFpY2f3vL9kElwJPxAaC3h5_53JLegubecN5bVjdayLWGTsKLnsb01DU098upaGE5n2yTaCbZBQhwpHSLh0nOXWIn4aQ4pgCOBBR-41WtNUSuurgHQMixzTvPMrTtF9N5jQnQSQXXDziHBGQJP8qRcTINnvB1SQaIc70QXM_kgsNys16KF3fy2caDk3Ke_0RQt5pzL8gIh6QktaZLyuRm86Gj0wRP-uXQsefU5EJl55gDCkPrvwRYGDS3VdOuXV2RM-SbjsR0SPUywja5EpzcpBiDI84vRLQH_dEASvHTGyW0pvXO8WEfzv614YmXzphBPOE3XMZdM_O71MHE1SGAwYuozTv1-l5RAn_4Twj947NUYd1XqlrRezNjG0JHyWVgS4UVPXlhYD6zcm37vOKxDW948UMUdZH9teA7cV2qkFolB3yx9eB2kJx-VpSgg0GXGQ6CAVsGzqK3V_yPl7rzNVVaC0Y86cYrF8dT1PAVudyQAvd4JgMcJiXg6QmIHfqpzlgOd58kVDURuY1d0yrQsJdq-w3sLVzqwF9cdQMv1xsJskjoeyZsmVUeYqg5IZWotAzlNzYqUE6ooh5UebVALzBNOK4yYVpVRef-9N8dCGxVrL8-KNtwhYTieOOQfBVfnnH5TH7Ix9eLrRdlllLee3gxqerceDJQucoqP8Whsu2Wo8816g_9S8UpaXruYzwYd4ohPkL65AxYGLI8LfIVhzWFwgk0dihgpCwif5j5WUTFwAdn37K00Z_PUoenUk8vaMZoz-1ZYrPENsRkVzDNFD82xKxsKGg2S8VYVlS11Zj6-Sv25eiC5AZiH1teGqDvdCZty1ixBjc1RaQDfyHBQtwtx05mo5ua4-FqZngsHmLQsjI2t-paW33X_1R5aMUnhj2I2btUrAjOOAQxg8Qa-0wOAvZBiTUYPgrgSPW8jiLDQIZj8dhnmHiDn5yNARcEq304oZU6icsbf7M0uCxxlTNQ7Om4Rd9qReFUETO0ubJ5HT_LIUkbY-XZSk9c1ejoy5kTTfReI7k2f2owC_Vh7yDg3mq7A9xnnqLTCR0xkJ0KEM84GMSbbDn7E5jETG5aTnHPDi-DdKgRdEu-72Bm0oS5wLKdDre6d40oDv7HnGIpep2unzhkeReoeTI01JzIf6qYdYEJ7MYB0edq0hnHjE-QB7onI1-NsVoLMp1raWZqpZ_1frdW8TuE2C9KV3fmq2MDrMhkW-RXPZwltWXPZmnVa_ZzRvH4trbVwPoKuXZKiymAiJKA6Kg1lPVrbANgeOYSpTKfUljb93jgQ-3G6sqRzWPJIZutM2UZwKEglHwBukFLEM-ne6Ng1IuasoL-dJTw3GGFFTovu1OH7zMLu2IGr1TW7KFMkq3GQIUiiCXZjGeecdSk9ai4zIo18SdWhXiBSnY&pos=1&reqid=1pQmSI37xRPCi3uC&type=CLICK
1,https://tka.tiki.vn/pixel/pixel?data=V_Ycb-tBdfj8nZNf_SQju5CDwSK80FvCglSUtmBWfGxTpEIUKq7xCfF1RC9ivb8K711DJkZVmWNra_BlfiZKyCoPh25D59CYnnsdXGfycVtq5Y6-SKUT7EoSXg-HDPNtyrakV0gjELGzs9NxgeIg2jhdEt6DLJYXf5BRL36tCWL1V1qviDs5S7vQqyTI9w5XKNJ_V4fnDagz7qdwVqQE9TvdspsxSk5Gb9cFhS77kxpD7e0aM6HjadDKjbVnpPm4gvxLrnZDnjBU53s_CIQmRAygk6lzU2Tx145Bz2M4lODq0230HDRjMCuXRHXvXZLymBIlF6owFHiDc3h5dZV2vFP4uaw2CPgTOwdHNAvL5oHNqn37De1zgFLzbCB18nYmZ3lQRpYsPEZi5lOLdHTjgcxRVRG3TLnaIoZ2x12G64vSMhV4sHeapoT4gwG0Jwuj-C6GtyztuPaBe1iMLcrAWi0u_Yq6nnm7ysmjZz3NEwse5JU0zw5CDYfMciHWIMtLfiSVylMKP-KvqPWjmQcbxcYiJdWsv-UYn8sKYa47Lu4uflYNq2zYCp3Iu2OXvuoiMHjIDHL4Iwm3CqaNTz2P-O1M-Ms0jrWwVKzKFl5e3rHI47qdec9LlTF8B2L7JPj-cytFeV9ydkJEP4fm_pWNljeqPDYga4VXgDAX2Bpa93hsBU_BoxwWuzk0nF8wxvc48K5cjsjS0L-CtnpeOEtFyXj1dzFM0OSa02DT61tkQZCwcJjHkbNyScfPV1qjUXCSxIUaZe_EPHqZGTD54e3lg4ybIQ18u8FzEVDs1YX5LTP2YV_kvVsnkTSgBBFpjI-kXYfhFLnagogDBWVnA8UoMU4N6MctIGgoTb4rnJ80nAdLVmQtPOP8qGT3qs02x7Gn3QP8hZ7C_jYxSR-eOsVSrGGtVUq92lcc51mlv95QDQlPhxax8J6eBp0jx8qYvDEhGK-4vonvL5sHr_YX8VnyHzgM-Id6dECZu6bYkeq5NJmYMeaDSPGm_qrSc0c7zlJuraaZP52QAJkwjnFb6gLFAY87cV6hDqVjU_NTxUZ8whiGYKhhrka3TalPxfBel9kmphGZTkgee-gFBFQ2REWL3TqKp73RYnaFDPBn8qdWH_1u6JXcqAw76_VjqiVg9Zpt7M2VBI6IFQsfXwdxqTk4qeEaHBpOidhNWm1XrgE2VuzTb6BZkX6gYdPzuud-5zfKScHVv8J5E5IMN5m7PHd-Cb14Bo4QRYU0rgz_lI0NSlOIx38-7RTOus4AEs5kBh28e-GR1HYCnqsWUWjrd-ezX5w3n8yZq-SxWw80Iz4CWoT5FAo1_YPJQVzdio1GHf6npbW5z94GAOoFbmH8EvxQBANUmClLFNcglWAu47m4tFaLEEOzgTY_vSxnm9Wos1sXZjf5bfU354z6C-KECowVXEH8J3CfnqzR99bk9oLTZ9pjZPwGRou8ceZ5InE9bXEXx0CEIa2B0PG2NWz-PzwFUaxif1fgStcqMzl-HSSHE1Mw-q8OGldyvLUgmdrOgCQSiJUScYIu0QRifZXUy1vudj5ldkuQmRteaIcMGRvZYCPQD6MU-5gODiEv_vE8xOfC3kIeduX9F6IRQcsmhdoUWwk6ZNzbCny6IOlAME27sDStoNvhxG4mg2BJAJH9eDVP04OCA3xiQJ-ba2ZRTxmDFW8Z-htGYhbSTWpnUe8dFOSY9BsEz8q_VQhFIsfSSCbD4i-7O3MwfallxKUu0duqh4GK-7GjcZN5Kq2AjDDBsMY4vptllZPZK35gISFDTOJ32idUKt-so6fyVfMHEkMMNAjxC37crT3qj4zSl8SACu9E4q6_stKt7n2ESfIcU_tWjXixjM4TSgy2OZfUek0I7tmeD-XS2e5YGoxYSl0Dz5domZ4P0JtgM_KXbsVK2nQyiJfWW1h3UKraLbPYvS4FnaAZtsRZE5tWHmAEnwdouUa7nwVJVNKhENGKD-YvUv5y_FVR8UuEZ-uEJoo9PU7seJklbGPrh54TwP2GNyc40rRwuQdpgg1cMNgB3ixEZknuSzVU&pos=2&reqid=1pQmSI37xRPCi3uC&type=CLICK
2,https://tka.tiki.vn/pixel/pixel?data=7kRhPW2PwLV84zRn61tWxKO4JhDAqBID3tKESEusgIsAqcBDc-z-W9i2u3lGkOw0NAInsoQX-4jOLzK-z_Bqc4HHe-pgCtfkDcOY95C1s2oEEYa78u7PDexPksueAEnioDH_Wevi_oeSf-jP7XqASc_WewnYJC_0cBOpmLMgBupBkLiEy7aV0ZVazvnslmZgH5z8jzspDnXap2hMtbtR-Ob3FXyQmqoMAJ1q9aHg8bzhB_Pi6lNxOyGbFXDy0Hi3iSwusLholHSb0kA0O9Mu98wvv1lLh9cd1zzVTGJNwPeh1LDjoEN8BPNNGZ5XLlfAWHdRtTvEXTzdkA84M75RNH4flej8yMp9Leh2U9MnP1xI9XQmuH1jX6mOfsjMRKh1Oxrjr1OGzmbzuxA2emFuWp9JW-qXKvvDSP8xgqbx6ZCMHWeZLXbJYanw8YfYj_D8RuwgWvulSwdi5Wnt-EvZ43evVhPCxs3JgukWXQ1UnZ425WL2SxtmGxChplmp7_h-IOVvqW0P91KPYr6XwrC0Vc2GnImNnD4uo_LBMnF9Wt1i0FtTC0A7NgJPR7E4_kauMtBvAHpvKsrtz0ATUAnreT_LIJco0Qku7L5rwTM36I9BhxM9SCsYXcP3iEL8eeEF-YsOvH_afMIcXhju49tYsnya2dqKLJq0XLoortfROV5IR0iM5iVU09Yjql_zxVsB9Z80WiyQUt25ykpNepxPIgpvbCuGyKHnhPAVBvdV7l6r1lZusCkKFlXhJkQTJEm_-pt2E7PAgg0-f6EHawqXPSB-d-bXMBhIcBZLp6qCusQDyxZVVfKmPt7FfjhHygRAa2tNQbwbe3-yD8YDFebLNLhZWt0E_B3_0stOLD7745MNKFsmpD8sO1a32LzDLw_J09qeoO1LUh-s1GcB2MO297Ee4_A2IqUYGGqDi_sxBAksoMg_b-f1t3ahvwq7R-aIHjkskC1PI3Cn13xInTcxoIM-7mP4dfIfyFgEJffYbEhik495EhKoiqn0a5AG2ZkRDn9__kyBBs3QxBkYM6a9pzBDxDir2zP2XSUPZ2WwhuqPJ4tY5eNAPVVCzqyDLLGaFwc-H6OffjVA_NWAjL8-3RJpKAbLosCCF-SfhpfqqCyvdU86qlAjJyeI72jhrsQbBbv1s9mckffsTUrAuH0ILdD_2DzyqRJNst7JSDo0rfWJbhlWUPTxdh_iuMhSfEGA6s3-6Qr3jQHZphRs5m4cy-el-O0YuskdvVGZOXJWSWCOAoEJdbVIvAH2CSHM-BSipWjzpu2hBiTJffCd7Vpfyep8rDLcnVPOAMJ0LSCx9GX9M-K1U0MjkOOrIGqmlwgAPvTp2Hoqrff6rLlx3CHWyvS02Zru9q20bCRGAaWt45IkP941hhNDnV_bxCUIUKGjDU-olfDhsa2wz2dTQcpbVy3xsBu1h0qQBmzQAmN32oVkfq-GZhbOJmGY-nFVa86vnGHDqbW3rPJjx1C1jYXDqUEVEO8IWn9fZrqchfwMrLUjcohdCBce8WSvEFQFUwIqRgbV2TwrUx7AejKH2c5gNQTOnRuXvjb24U2I5OCYCzaJT8PbzJ8DXNSFrGHx5Cgauu0byqlZaaAq6m1whXiH8ikKgcQjMIDLYuA4uelOGqcueH8cw-OGM02SltAekfPDtUBLxQdb1wH2p2AGw1nLGdaIoFaucvJ-79ZypPK6TwnR3a3T7JarJ-fD2Rsvo4skKOSDgg0D5hRpiAMTW85noP451EnE_1eT0QysEY_dDaDT0lbPFpBRk0E58xUP99ZOpGWWHvFbrQb6sCfOCDFoeOyHPDgSgb_eJ5fZV5HJNNGPdck5KoTvp73NsI5FTzboRp7-ybM5XAwdKcwfgw7AsAOc-wayxIJWiKE5dwIcB6TOPvC50XCO309pRbXfQcBvIRUGX5ArYBs3hduHvnk8FRbQKKHq9FBGJmqCDhMhTwRhfjIIXwEwYlrQ_uNi&pos=3&reqid=1pQmSI37xRPCi3uC&type=CLICK
3,https://tka.tiki.vn/pixel/pixel?data=Ds9GmlP6cp264nyoYsPVS5IcMRV75uP6truPVdQSeFa4OPNI-L5C3-jikqg8YIeOMkRUVIRscm3-7WGMxcgOyW3I74HRPF698A-RIfRWLkGa6Fdzd46rKPcgZbxCZ4HzE1TgYaNkMSK7rMMC3KwsANi-WV6xPBrrJTgSRYHUeAu3wDY1KRMB3LBxqpjJJQNJQpLLR06DnlLz8_rr5jNxvCNsqg9emwvkxWxuZ57iXArQSFpH8IkoB0Ne7KW2kpRpDG_D-KbKDMSn7vovVscEuTP2EBVj6huOW3x6HcLQAEcVfKlHYxhFXlUNDv43fVMxo670lZvI5ObUiiRwqJ4o4f4r8RS02DI_JM7lbufYSCGwLxFnsDm4NS7GUrxtZy4-u4sVgJtHShkeTB4BM_sRJtuNSLQvc9Z7IRyUzPLd1Iy7vwkM3BRF2tgrcNI2ngQMT035VkRp_2pRq2x82bnQefEbm90-s3qEp5JjMKxw0iURopRDdpEqaoaHqNVa1YC3XcGd4pCAzv1ZNg8ZU4SWsuHXmAI_U7vZAgGUopkP7_FpGj3NcQkj2BLtOJGm4tnEylWmQhlDH0LZoCzsCdsMoXaP1ooWIGtM4o6vMvrP0SBDCjhyKsTsC1KB0cHdXckXjjXyhBfKp9yfeM05sdZW3mSyNvKbTkvNZigkFLz5euszsZlHjZUBvZU3hCmbIPO2FptVR_ZFI_j-JMFudxOYJkpp_A-mdbmG5SaOHdiifuNiOs4tImz7J842_u0jRYw_oNsEvb6OewF7JiMFEZoDt7evpY6DiDUfMhLbYeDzc54vQsBuibqMCcQ0VamzjGIpuo-dVMQ3O-FQo_2qqEa5-g_gStCRmARuxUw2aQB90BKEcuOKoXdU-dkto83mENP8Vh1EBXjekASiNEmeTtPXbiF15JavVjjUel59CLJ7b0RSUqdRUcEKNZ-gHDP8sh9JoVvLKbqW9Hm0MRQ04hp49O1rQpr_ARtywgVt3QsdgOEtmwmwLh7PotUu5teAtV3HMaCEkTsdXWlvq_diftknhLPOL_tFdn01-ICrB4VriHrSFrf6Eh77kgZwP_LCDmloDoRpEjTTFj50IIAKnkKYOj5FGU7UcYIJfKgeM5BnSQcgGEGIKPfcl5kb9yfnxyvY6hvy7-O9bZRBkVlVW7-5I2CBnk3sqtZHuQrKr7p1aSKLJ2INXDtnRSpHB3Zmtxj3K7LCuCmVqJwGOwrgBFJJ5qI--ADjjBNP6sJmdd1jHeGPjBk4D4QEWPJhkZukUd-3fyy2gqAeIwTxl2K9SLZeKSQRLzd_yjnIe1BoChtEE55Zh6G4k1DXFxt2Er1eXDCv0TrE3LbiSMp2Rwq5Wvheal2QH0M9yrZpl6UCC9BUciV5YIE-4loB7tUXWbGtg_tlI-peOqSFdjkg0JCMoaRy2vLFc6AzgxP3JochAPc7HhyzKZH1BTH8HCQ3qrL5uzQ2Pt6Pv2lQs7R3j7JqMgL0ect_3SW1lUn0Y8aizDweFmdQwPjfhmymUW3PTTR_xJw_ZpOzlK2az76-9ymXiHTukHadJqc-_W3NkK2hEw2JDz0X41meOFDd3dI-LPWkFzbFbZxK3X-xJ6hrtGSSMBEng1z2i88fvWNwqkVbLjWAEcRzyJ80EVolrYp1sk0TG1OKxjl4Oq6A4RcGVih--x_HvwDtER4P1KawvZjpHHPvOgJvbHXd6tC8p5wqGce4yGel7NUqm0ESjmrp7o-Kkcs_t6MP7VdlnFGFpqemUh40FS3Brr_yghby8vEXL84dFqU9ObMz63wUEWf_CkepD_f9dTQUCrfWtg&pos=4&reqid=1pQmSI37xRPCi3uC&type=CLICK
4,https://tka.tiki.vn/pixel/pixel?data=-5qaXVL1N7e52mC0oEf80lrf0Lf7mTZl0PNIU9Jj15JqgOAhAzUNyu4IeY1CbIsF04zKMxq95__y5c1_CY3qXgluemfFJnD-OHeRQIja54dh6pfC8GGAhdniVdGwUrY8973sLgtufLXDrkAFwJqy3_47aQLo_ftKxnm7VJS3znakRLcUTIylHRba9QfL8ssVGavRUR1gU1vrZxJy-YTmwUwXe_5VW4vuyhs95CLX3WE13jNpp0gvz3zg6rRa2BKhML6mwZnkFVS9ko9snu_LtyWQEv_cR10B_Z184jyhMmJ_Gz8LONQDxEpxYEBQxiJPqf6jtXFhHdsUJyZBKbm__E1hXIZiK3_hWsZw4VguX7E-A9yaPk5cfjrTuWQ2RaupPEbuQVQ2bsnMpQKTO2LeRtygvaN_J9KVbhgBafBSLSewRC0kn5j39Q-g3buJonQftlEj2YNjoXlrbDF3WWf74IDL6IcY342rcyIq-OghFbtD6JrZgCVvSh6HqkucxqPLt70ulUVWXg2tnSPRGMsUW3HlTqT7qxbDhMfx7bINbCWqNkGbm33nYhWEk9RsG8usVZgUgpzBBDbZ4IRhc_x9k-l_KgFdFw-dZQvnuQHpbRikNL8tx2N5s2M68ikxjceZoue2epzE8joAbLY8SoytKchh1jX3bKtnYNu8gFQjfNj7o_xSaVeznUcuKP_pVrXQIAoZtSVcBZ2JpsGu8JQTJHQx_ETHK3TqeoG6TLpUK83ZbQXgyiBGlon_u-8ELBip70Rzrf-XRsyXYX-V1OWrcXMIEnq-n1zD7r8zEQ9bjAGkaZt7OglQd7DnzXzjbwXKQcp3O3O7OWYm0Lmz7VXv4exvJ9Jma3yXSrf6JqAYMAMT0OMl8IB-hMoLqffKUx0sS2lP9sm2C2mHvYAHT5I0rlW-XrwpXJ2bz33r-KWeLrYAiWnAKBej5ujj5cuzCTCpCaJlLhVStWeboe39oNtrHKSLtf11ToWtxAHj8UpSrD2Oy2LKfnm1g4MHvn1f7MFp4CR_A9esqBZhnB9DYmkYRRH5IN-W93iaAwG56y5ujTjtaz0UTZzk1fKouJYWYAZHsm4G4Bf59Mem3BkCxR8tGESRIih_VFF-AsttSEowFKbSTjSNst-cefDHX2bDOVCN5vnWe08BPALwQU-88l0zQ3W-lSdyNNcCEspI9zACsMvnYaqN73uuo_nTl7S63ab1x6AsdEzH_lWGkD8jpIKUPK3vVbLB-zxJt8ThtlhiOs4jpi85t3j4zHquPLo8OrNUvRT-_TxOiAbn432mjj2yQhCSog1KSKRPny2TL0YHGEHhQecrlYpPxEmmRmmG9rdF-VkRJnStG5jLqD9byb934XCuhnKZOq5AS7Vywb0W0USoMF2ARzWvzD1y3J6UfqAt-8brSPufCH8PoC7ZxjY_Nw4zpLsaY__ed3iC295McwrZcWBmr-dATC2Ovj8Ggrie00Zo-wrSdpUnNbhAQM6p8vC_mniREgFdQS350GEDKhB09EI4qciKBUiQtn4Y5AFILKxSG3mGRQZp5fia3dhUR556Tb60UmEJsBnL5NXCJJHEeqBEtdS5iKCm5XrL3sHU6KZqpos5a09jBGSOzmHpYwqeUNo2YnhtGzm72nughln4xcPtQCIhnB2dnr27ENxujVe3pJmQDHRPV189rq1zWD5c5Qf2JnamysVCRDMhvSQxJVQ9_2FWXnpwt19qX6MfZIT4UwTIt-ZzcWreDS7XKZfAFH3vIRWnFBlp7xqcUMfsPrGrWhbNXMNP7CLqMeDOYySXsA&pos=5&reqid=1pQmSI37xRPCi3uC&type=CLICK
5,https://tiki.vn/co-vua-go-co-vua-cao-cap-do-choi-bang-go-tu-nhien-p49317175.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202303190600_MD_batched_PID.49317176&itm_medium=CPC&itm_source=tiki-reco&spid=49317176
6,https://tiki.vn/gau-bong-cho-corgi-cao-cap-memon-thu-nhoi-bong-cho-corgi-map-tron-de-thuong-mem-min-p187183184.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202303190600_MD_batched_PID.187183186&itm_medium=CPC&itm_source=tiki-reco&spid=187183186
7,https://tiki.vn/boardgame-co-ty-phu-viet-nam-sato-co-lon-42x42-tang-kem-xuc-xac-go-tro-choi-ren-luyen-tu-duy-lam-giau-p89643366.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202303190600_MD_batched_PID.89643367&itm_medium=CPC&itm_source=tiki-reco&spid=89643367
8,https://tiki.vn/tham-nhac-cho-be-nam-choi-hinh-khi-p110685473.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202303190600_MD_batched_PID.124487249&itm_medium=CPC&itm_source=tiki-reco&spid=124487249
9,https://tiki.vn/khoi-rubik-3x3-p73943160.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202303190600_MD_batched_PID.73943162&itm_medium=CPC&itm_source=tiki-reco&spid=73943162
