,link_item
0,https://tka.tiki.vn/pixel/pixel?data=zxhTbvSFwq2izOXxilakoXaZhmNWwFiPCBbc1oSkAduAa5MXJL5nIru3fMcdtWzUk4O-AR_f8KTg6labmEEh8NS02bem8_eCJNWy5FIfD4Sh0rkwahT3ATudwCbLRxB19Snv34XJNIqVweJXZvNs2dj2Se9uq86FQw1_hfrh9l8IceMhiipMXAbBPauoX-9l-uQkogljj2bwwkkzTvC5RZbAWi06_vI5iydJcardEDvp_syJNa8feyiYoS1Xj0aadvr5N0LgfqmK91JCSSMIfKVEAGzqyPD8rNcRWdgZfiBOQKThqYdHb_RQILvy1cnGWzn_UklAXmFImhTQkQlgGxz6qje4vPcYuGs3wpfBhrfJv91XerZSg_HAVu9eimuBOpfeOhi03ZnaH191w3QCqeUgkNbQ2I10LM5xjh7Gfg1VmP8HDHC6Hm_tWEckC2xZTWHn2CEoLyeGPRs9riNKN0C26Xe7xNQ5sbt_WGqRkUX1eeBQlzLM4KCYMct1Vx3PT_fsrcXqCgg7In_uqEd5-Mc3yTPdhfozC7AVghlbbsTDyWoj_m0YZF6BoiK8v5GpVYIG015tlRH4j7QAorUBeNVkC7gMK5vcSlrt-XnpFJbSdl_3LLqX5dQsZu8Xurhm6_3-G_CRFjURvbSTW8XkIAyTRjkhoyM1GmF9c77pwcFqj4NgPFakRbL4bpeLaXfMj8icJCjDFOcI-WLes08llAWQSGazjZCB2OaY4mgazIHbpuXkaoZ11YxvOqTMR4Q9JGMdx4ECsxbz9nQp10nyCefw2FKvnDe4zWjr8V9_56PIeF_bYVcoNjYqw67b9XHnZJGn9cqvL2Pzmr8WkqMWGe0hhSlGrcokrZOaVAwJRtLyv7H-KhkKq3wqNo8yPX2eHziWIaskdhqPuGs2-_1iE7VoFnNfBSlrMkxMYYkEXl8YVCvFTqZ1BP6UUqG1FgRdatFaiQrKPXLvBwPR6-2RC9tRbnLNkRBxBcIGhWbUxqU-8EJHFHXcq8tjxpLlwChzPa1uAdcd7MvbD0ot_LwY0BaI2V2bVwKDfbMuA0ySIWE_0mE66-4d-h9Ro0E2SW4094_8XHKdd22G5MpejbaQIm4-9U4MtE7cjxUT96Z5KKm_qbbTjXQ-2R1939liGOwMwU7wTI3WsWLO3ncXblEBxjRPZb_cBFvnPJStfc8Z8Ez7X_X4JI7fBXK5g0BYRzdWus5kldLRlW4J08AUlLS7QHSno7I0cyWFfNpuqg8bRzEp4_jWxsCYyvBc7j3wvQBql-Em_hl2VqVOLbJUm0AHnw7GYSoGPHfauZzBnanio3CgOmnOG0EWBP7d5a_7Ek7gZ3WgrWpBlO0SY1D_3OaO-qjs27KCFBupk8hVABdh23PJebmJ-nKmd9c9mHnotIIKOMqOLfzak5G7l-FE1ZGJji3D-dyIct5J2TNC9u_GvVw_OlqVcLHjfYSoM1d4htGnhVSbY-vfZtEVj04UgAf_2y3FcmIaXFX6vpoBr3vcFT4Kd9kemjhkSVNwhGqssyTUHn7TNXMNFlbLZfydON-dtnpKxt7ewxYJcCg1Cs3sP4OHCRklQ_nt_Di8zCkcysTymvCgbzgaNJ1LkqL-J7hWZNfTwaWQU-x1KaSYBWjed3UKLz8tv9sqe5J_6v9B9LPDkij3giMmGxbX5yEqz3Cd&pos=1&reqid=ExH9TpL9ZrZuPRhC&type=CLICK
1,https://tka.tiki.vn/pixel/pixel?data=OpovMLzg2xowb48nKkKnF0t8nHwNUChEwEa2Jka1tKS9G2y1qq9gFJ3u2Qy8WKk4LTrmIISGt-64Up5DuWqM7MI5CLO4lA9rc_MeZIOAZDk3tRNgZ0IU6Kzrf9KmKtFqErDVsQVmlz8zPcFSqwGgqcccCEng6O3bB6hHBvJuLpnYlXzKEnM8KwAMspvrrzrRtEdOhJ2Wi1vt2oqE-CpK7xKzQAHeYaLsV5ZPvoufDetuM8r8I10xN0M_4i6Qy53UOwtaoZyxZSR02tYYuAQzuK1e-Aplsjdjt9kKG57mOi4dYQcvjsS9pfieOHaDVCRA2xbJYGkubt1Ez6rl6mi8GRuCG3IC2tGYmv3q1lMHT2G_7Vp8DHToCK0K791lpeVzR_E9z_b36dAtFIN7SvyECnL1s3ajYVg4V7OuO7WqJgy2quCLlJ0rpAqEcz4D8EUo3f3Aa2djYFcp-el8lV0eqEkCUcmYWU8ARjJQ2ENrNLLgT-_thsBEELoWpBWyByQb8pQ3kGW6ntlzTZBZns1KE5ciZKvPyNzIVSK9_k1hbQtcGfS5zAci_ysEw-vnUSv2_d-KwW7iRYJ8Lh1vwQiJ1IBJhRWFptGUDAfbdtNXqX1-XU7BJvvM1meOEUR_9uSMZNYfh9vxfs3E5Zt_hIuMtakvFX-BzenzyYWyUSAO4pKUhijhR3bshnAEM_VnlY-GNUWntUqi6b2Ah-JeyM81oRmwbpSBoLQeVdhGHE5BMW3dJjVrfMxKBnAd7rQWUh1d5pkhpUUfbJ2-Z1DpE5Hbymi4tfpl6j8xD9PXjoVQGLDpJnaJjMOtmHCq-qIvLF46azVkx4ErAafKvG0d9C3q8fOn1gEdkdkgl-U1uOUFb-pugkqhe07qEhTvCE-ouzW9XITqqSwqxVuZ4L2Nk-E9_yaCcLN8E6uWPSEVWuuokXLqw-kW5gypMg6mFZi4_ZQPI__-E57wcsgA2eLtITpVtQ-MNbe1Q5F1HHNzTd8BYvfdeySFlqZPu31mp1hHOJGShEfdhIsazu8xuxLRDbOT8J3euqAZAWpIL2gchvvlerHKf1fXNP2M2aqcD3GYsGdk2iVIV9SuoHtR1-9kDDnDnVh19mOCeB9nM5WW9QbXUESWb2YdUK9KkPr06VA-Cq-tVi7uqG78PYu3HFKF1h6mAd-htzye2E3AFqHoi7pHMnPih9QYmhzyzHrCUJ8Y_ZCXnlvl1hwbR56e5A5kWSLNFCWXb137bwtV8A1ixi9__sItsfWrtmX7viILCYB5ZQuzqaUEq_BFMoFMX35cbqNdJM9Db4VofKl2VesREsQMRmmeFQM5xcY_CDPJpzMYfoMwDgkNg7jdFZ0hKEyFwoPER_gaPH-XU2uuQHWJ0kQvRjiOh3pYok0WWRSFoeXLsqKeZZ843AtVhZ4N0xu-zWNiWp01Sq9m-uatseMnPMHWHqlH3vxjTCp-sr3JWMP5c3k4gWacSRnqsEIAWaGvcTYSYVfbz2kYkBklSS73QM0WTrqs1P515YdR4z4ACABSEkWqLdxT3fmECCKPOJvKsoSHGpU5JG5ak1yZz4TpVrVt8_NybvCbeOf84F7HKldw49NsbvFrwB5b7KveSId0URAI1ttdoeZ7Mjd9bSzNgifNqrZN3TAchdoykb_0zUWItGeJH_BiMNDuUYj0MovKX3z6V8Ee-NxIB--il4MeYhyTUHd7QwP06MF21bhi08kTQpjrwtXC7LBiOSOGM1Pjg2anPurEN5z58rPeA6s9j8Q_52DpYneUrXVA3Yjc1FCqKexjz3CSQislSFe5GtPoptYb51pL-C2RrBtVME3r8_NvVa1coewpsQXyDI_gici6hemL9OLWCQ&pos=2&reqid=ExH9TpL9ZrZuPRhC&type=CLICK
2,https://tka.tiki.vn/pixel/pixel?data=SvJmcg_AYPPs8Ta3oZ96eS1L_DnVxrD6HXZwx8gHLAfLrc_jYYdsKI7tWSXpsMSlcmJlPiHUrwf5lcO3-3pcm5ESKTJ2NZtD758uTRXCPENcJb_3HK3qi---43l1qorAqwv2stLnk2PwKYFXdPOE7i-hJOLxgbtEDKqBrOpDa5N8kb-8XZN3BGh4qUgMyzkxStIrSQRDYhV5hRjCF-tcqHqdR4xS7CedJZrvG-e5C57BY02g8MvE6Xez5vJUyBE4p8Bf0kwb-Gfs-QPJ95GK8cr2oQeGIlouDa_ZCDZxA6vq_q9Lj6WH6jrwBohk6dTQ4w7d6r5pca-7WiL878VaVsrR58CwWnAHf7iH-efaZiXRBGCaETT9wSS4BKOaDf4Yn5WQtPYikHloZ1pfa7fXiWW0YKOVJUNBf3ldA_9DRru6gqQvyYryau9q9ICIH3ojC0t_tXfFR0bOdoWrgKkzo3kfdlFG4XqFVeluqWOvCWeX3NfKYBg3lconCv6dC8PKcxhdsOld8mYNikESd_aUlFh8qSvU6ZoXMu4d-cjAM-3mUALGdfjUasAphmFK0Mlyrxmtj5IEzfEHX-Yma6fQpXBDMzPNVHHJM4gCbRlHK1vdum4vW-hujlVELv18JHRlMhU4Z08VKyNmFZEsaeyyNL58DkbT1QcMOf2_mh7RIEhwaR813uzygyS7VHYBVju0wX9xBtb3Kgu2MhsxlZyPNihz2wA_pWq1Wf8sqvaLI8ud9Wqa-Fm-ZStCJqaUXrZ8kImeFQqRSdT6lH_1pXC1Vvkos_Y31A7VpV22GA5__vfRsHQ-IcK6E4IiTmxHZ3PfKeb5PHJM4vdY1OqvYASATF1Q7k67wjnnQw5SeH5RBzLUV2RC0QS9DljbIXt_5pBgnp3xt7tq2VSGV7KncwDsXFvYboF_g0eWg4cWPmErW3HoO75K0XIbwHsF1SNQCDwnWeYwjKXAmmHJFe7lt91pfP6dQ4hriWok6vbzA4BM2I1vXoUO8Ad4kKhTy9UesKuzKTfV6AXOV3UUGi3WtgEn0_igJ_ixLhfZTt5HGK9wWFXONn44qNf1nRUY9dTgZ-ar7AtcgTFQ8CHG8C3lfEH7WaHaDGdKnrQAwn3x2Da3U1xIWRNDBAMlmU3HM_pv9yOfySpRy3tO13OgvubdWhoCqgdB5cF4m2cWEYG24ZLm99awuDaR6D53RP0kyDutYgkhFF10vzpFfp7UldnI0CUZ7uPLEzABadTFWrYO-gLUjdvMDQ_hrHRO5Zjt83UFnpKbmzOXvWkwtnHV9JcnrY1DSkzXVgaxSmZUGGrQfgE0tho_9G597fv-7Eznfl2Dh8Nmqf8GyUeLPrJYV26ZoUfrrRkU6jn07ADGxou0uHItBrvAAztvft-730YSb77ZNvkCA3xwOocx2xLFXiNeo2WuiqqzLxYoI6ZYXnEv37S8p0l6At9YhqqKeZwnPqUamsL1E9X2g2wflfL9IuBkDOrr7olVIHIotW6sEBEaht7CVvBR9CrTCicqMvCB2mpDk36ZUf7VEUC_fAz7BMbYD4_ScV4TvUYjzfWHhtNeZYtAqiA57bJxSFWN1ZrtCmUhUAyGUZpRFA6rY_oVmvEIeNI201RLOH8CH1izyDLfoKY5oOTJM6PmoKg7tP6o2tvSEyf9L8_R41x2at1-bm4pH8xycHOj9-fnUCmZDT39JLIGpho69iisb6obVEBUd3n6aHcL43NgaRKJ3oOGCSweDPrPr9Y54s0tSinsWhxZhlXD7wc1LCgPqXhs1vtZdLTVlkWMmC8Qywta1PiLts-K_1ggz1Tiwg&pos=3&reqid=ExH9TpL9ZrZuPRhC&type=CLICK
3,https://tka.tiki.vn/pixel/pixel?data=rhkbBYPdLmr3geqBmhPDgPbuH4Z_yl6g_LUVkoWcGNvQNrG7_ErVrNeQaTr28aUqLr-jEgYjGb_mHlndC7wVptffXmMtGMjK9RECETGyhWLWkCDXWOK46mq7EL7jAlvtP86uisSTSQJZpivBa1KEJl2tsQWXKhoh6vCsuRBEfNsBbnr24K-7hHY9WAgN0FlVBQOKUTbA3jkAq5roNMgs8hbZxYuzGva9AmTInq3PFonZDaATorZbwhIGp-idIH09am0Enj-36vYJoE1wfn9XjAKI3MLiH2-BndGm0kntcr1Sjeb3uELSZIx4tcQA0aEtqOS0AQc2YdWKvvyzCWwTdsjaGP3SbQu1Xt1t3qIiHHKzP_Bz6hgXGbNWKGYDfXVL_0_T5l-4TruncSy9sHMEl4AkFuIlJmvXmcB-m0-5Dve8tCaeEynMJc-lpJ1DrI0tLd8yFfsuBEAqhwCAQzTrMOirqwErQYbA5aEcNRNn3gZ9YeLBqZvFJs68QBAk3R1_jnezUmVAoTVwSVSmxEHW7Y17tAXbsYZB1Muvh1qT93MkdhuV_kjs4g1zZjUe3d1vzEdihR6aYZbq7U50hgl8-3kLZlRELm5CQQqzkO0_8Sf5l_xXkCEoxwVnXBZx8oraLAiL_qp0OkSwcSTwK2IEGgUVWOow2SZYEiF17QKD4Q0DRUPpVdxOUEbUx3yZccO1RlZsOYOEDFUzBjrQp_cu6CwpYDRU8X3S5-7wtUQMojG-7TbliGHtC3CKTYil4ya4tYvyB9ygugxngxu8ZQbQJUIfcX0-LIN_7gIhfBIudaW-Y7d23LDtwF_CavOGHGmjKBZrdrBk54EACRp71j0LUAnM-6CAsrIRWhC-PTH0sIC3-tEYMDZf42Q9QsX3xlA_Dsn016IQ18_Oq4GsUpqfE_df2pxl96MrwqU1CpBFODE7nBBRW1RgOxG3_-lZVNv45_aF2DzQz_-enAAZUWw1lG2rsO9fuSC-p2NjR2jcBWWJJdVmFAnmxSpt-0nB8FxLwUDN63OOoGP0_ouAGMFpkHTNJ88r5X7e1oTLTjU4cZ9pr-tOlyXUtCZJpvJPzyoDToDPdGReAQxFG0EZyaXLbz2adU5BmYNec9aq35-tkj7Hm7R3u8--YXEF3n_oSOOXXVdFKyWe7Tm3UGJDWU_1CvOHCFkMeEaAf-OrAvbfMvSwJvfGFLkR1s3FIzk18CzSY6Wvf3JixCCqPi-PV2u87jqrJDA8q0RheY-mzVEYBueBv5-xbQEd1eaFTEMHWuQyxo0_fNN-ZZBu2lwhSxtY9MrSZMYNe289Mo0Cb0rbDr7Y2YoIl8cZx6OGLNmSJs50w2fCyuCOSBHjptBxyBj0ZpA4a7Wh3XYo6Dtd3RXtyINqvWlzD5mMFCR14w-U12itpBKYGOQomUqRHwKplHiiI3mJUqcy146LCxOshHZ8B4V3x3kQ_S601oiYBmL0NYBD9EtggGZyRndIHBlKOOVL9NJqZVovDf6v1XlthVAnMPzil0ge4BxD5tuVuW411VrZVsZne4RGZbb_yzIbRRhrV_QZcoOp64quGsTmhR-WaLgsIBN0zxs9etT1EH-7NI0gtFbsuls9gnkSYbzN_ng6pS81wNJX5ShXlbyogwE4bYeQspkMh4v74xpVS-8GeSo5joNN4pvsoEWFpWR5cy1-3I8ROWBekDRBqu8iBaaKDlJtE2XICndpYgZ2kc5n9cGJuotAQLANyCLIbje3VPKH06JUfd6cUNmhFLYH3fwD7q2_TOu7S-NlKaZqw_S6_9H4e6N8j8BIG3AN7cKHK6QNrj7GbhYAUbCGvyCK1N2MhOGZOrrHPAJopksB-04lA28TQSB4Szt-gJ5V48PseRyOXUQejaDCP_uX7YVQkbURNwhfCjQfsMDW9Jlndis&pos=4&reqid=ExH9TpL9ZrZuPRhC&type=CLICK
4,https://tka.tiki.vn/pixel/pixel?data=oTksJsbIP-3AGvZuNWuYTLZjnu_NPiiJPzt4E4KnodacFOUlJ9Ms8i1NDSkqboq7UWzjGTPL1LYNx5gkEWq8LzGWfpyz-F9mViPBn2HL1Ueb8pV9fht4T7yvGgsUak0cjxds1O3N_RvRa6kPvjkuN8CsK5Hob291AKmMcyrhNJri1xXzFn-Dd8DZtlvDvYotvb47ejtXiljqEPNLMnsrYe4LPldjjC7s3IpS6i9m-2UhidEHKjuWbz9xxIlTezUfm3NBiWcXXfZf55OfXEu8GBwp5cdv7Z9VkFpVpjmpIhxKmHJg7k9eG50Np5bpQJwoJDRkcegBe13OVGMJkq3M6DtBmZRjidy7DnUTB8COc09wgcnALRq6JmMtyTeeB9clZKrMSXbhZAx1TW6qTXX1R4QzHqNm7NTOsFfp6UDAaUVF5IAemgol_9L6KqzdwqwAZ2AcwMIfKuwyGKLkqTCq_ZCl3y_CL18q8MLx2ojXl0tf9e425L69gqrz8VQtx5ykyTSyrlg7VCTLvtttN1uOd7_Rx8BpKML0s94uBOnrIawWSs5Rn3XIWSQmKRlmw_Jkg7UQVWdRbfF1ost5i6eEaVFwFcFbJkGJtLioqVrTdbF7t6CievwPYKBQwTA5itopoVqraj9ACZkIweUtL5tGXkhv16ys4hDnzsOpsioR5iI9RDz3x4QY60E7DAEU3C2xszzTBum5-Oc3FjNbK0dtjkANJeVe1Spf5yO-vRsQvndNlUegxqmBCBuB4QtBiszxDC-JK92sIB-vKHYJ_cKYvkjs5fWARv1wglMmVkKHI3A82-OPEs70hthGRTq00mJldLUFebd6AAQMhumP9HMa0GeyLACCSdIphb5hDaBsSCITImy6uIactSPOFNl4pPb02eZdLl4lyglMVLtOzRNl1mazAuO5NTfLeQSICTwp6JseG2LxLojH0EBwqFErB3_wqq1y02nie2-88f4wqmRUwcNO37PPvEW2z63HAYjTIX5pu-JPSWzDEar-332P4fUxhV0-gQpKklu0JWDuXmx2Ze3LxNSdPpcXNe5S7Js8FAEWrf2EiaeKZBG5n3hcCHawnyNgM5R1O6HazCy-xQy7N2hgT3EPQZmFFZfKjDLgNDzwNlOmTDzqILWVBld1AATvYRNYZCLS9iaLZxdWEtKFK_WR7bBbtS0qt_vDgX8lMH2RuC53igSwumXh9jszHQoWNWLyR_c5K_MusRgGb0FLLhkLAMPULswmdSaGf2-4cX5ffe8zxeaQ49TAlBYvBYlzihj2yN7mZ2xXBBDmE0LOoUHLj3cqNRzNHKTKeI915wlEa0QqgR2mcU-mNU_7LGRx-zup1nqgApbToXxgt6ko1HB8hcJREzJnmSXrTpTJhPd54OInEsSXhX-gXKnkEO3WDO9esLcshKq6L8FloCsQI6C_sfzyi-Vb_rfKIA90OK52Ux-s1WmVvwTn5LU_Siswf4Oetd5G4a4okWQ_0k_Ok0pWSUGPaqfFXTxAeNF5NLBqqDIAcjVh7vpcTBz6TVf-XBHFFlI-olzAXKtHtGznyvRGCUx6n3WoLzkNfnIcD8L_49XKdKTMgb48eDEqQOmNuM1UwQwtzcVEtliT66MfkaSO99825MsfE7vkfSKlNoLD3dZHPXXw6lHgYacPOEcdAZTU8ZRnNp9D0_Eocgg1EKYd3zis0AhFoxw3hBicJwXsegVYtNVDrR84wWwf4ktS2KwQ5-DaVUhgv77mQTZ6dsaezdQ8MthVFAq8ty9JU1W2LPaJLDlokiAhPKFyzCQ31w&pos=5&reqid=ExH9TpL9ZrZuPRhC&type=CLICK
5,https://tiki.vn/lot-giay-the-thao-nam-yellow-sport-p8193848.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202303210600_MD_batched_PID.188663082&itm_medium=CPC&itm_source=tiki-reco&spid=188663082
6,https://tiki.vn/ban-chai-long-ngua-that-ve-sinh-chi-tiet-nho-xbcdg07-p107802116.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202303210600_MD_batched_PID.107802117&itm_medium=CPC&itm_source=tiki-reco&spid=107802117
7,https://tiki.vn/xi-danh-giay-kiwi-45ml-36g-hang-chinh-hang-p173914393.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202303210600_MD_batched_PID.174855924&itm_medium=CPC&itm_source=tiki-reco&spid=174855924
8,https://tiki.vn/giay-da-pierre-cardin-pcmfwl732-p138492571.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202303210600_MD_batched_PID.138492573&itm_medium=CPC&itm_source=tiki-reco&spid=138492573
9,https://tiki.vn/mink-oil-mo-chon-ximo-chuyen-bao-duong-cham-soc-do-da-lam-moi-phuc-hoi-giay-da-tui-xach-ao-da-vi-da-ghe-sofa-xi01-p115872494.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202303210600_MD_batched_PID.115872496&itm_medium=CPC&itm_source=tiki-reco&spid=115872496
